datetime,num_people
2025-02-19 12:34:17.832330,0
2025-02-19 12:34:17.960405,1
2025-02-19 12:34:18.025720,0
2025-02-19 12:34:18.093784,2
2025-02-19 12:34:18.158896,1
2025-02-19 12:34:18.220932,0
2025-02-19 12:34:18.285629,1
2025-02-19 12:34:18.416788,3
2025-02-19 12:34:18.477279,1
2025-02-19 12:34:18.540932,2
2025-02-19 12:34:18.742935,1
2025-02-19 12:34:22.173538,2
2025-02-19 12:34:22.298157,1
2025-02-19 12:34:22.361928,2
2025-02-19 12:34:22.424214,1
2025-02-19 12:34:22.743277,2
2025-02-19 12:34:22.808905,1
2025-02-19 12:34:22.883145,2
2025-02-19 12:34:22.949999,1
2025-02-19 12:34:27.671850,2
2025-02-19 12:34:27.735794,1
2025-02-19 12:34:27.800881,2
2025-02-19 12:34:27.864781,1
2025-02-19 12:34:28.385943,0
2025-02-19 12:34:28.451729,1
2025-02-19 12:34:28.520815,2
2025-02-19 12:34:28.588702,0
2025-02-19 12:34:28.654796,1
2025-02-19 12:34:28.721825,2
2025-02-19 12:34:28.795365,1
2025-02-19 12:34:28.955215,0
2025-02-19 12:34:29.108753,1
2025-02-19 12:34:29.248358,2
2025-02-19 12:34:29.316206,1
2025-02-19 12:34:29.386318,0
2025-02-19 12:34:29.583458,2
2025-02-19 12:34:29.813129,1
2025-02-19 12:34:29.914086,3
2025-02-19 12:34:29.998936,2
2025-02-19 12:34:30.075679,1
